claim_id,policy_id,age,gender,marital_status,occupation,policy_tenure_months,policy_annual_premium,policy_coverage_type,policy_deductible,vehicle_age,vehicle_value,vehicle_category,claim_amount,incident_type,incident_severity,incident_location,police_report_filed,witness_count,photos_provided,tow_service_used,incident_hour,incident_day_of_week,claim_report_delay_hours,number_of_previous_claims,months_since_last_claim,total_claim_amount_history,bodily_injury_claim,injury_severity_score,repair_shop_type,repair_estimate_provided,fraud_probability,is_fraud
CLM0000047,POL001479,47,M,Single,Professional,24,1012.8073265192178,Standard,500,12,35716.968958135236,Sports,6311.852324216688,Theft,Minor,Urban,1,1,1,0,15,1,2.441032562634182,0,2.470721069195741,3747.4322429037484,0,7,Authorized,1,0.42783726740309164,0
CLM0000048,POL002557,65,M,Divorced,Professional,43,1687.0493298905812,Standard,500,2,17989.60493059602,Truck,1456.924771416673,Collision,Major,Rural,1,3,1,1,21,6,18.254223304494808,0,0.23185389394163286,2479.08839516404,0,4,Unknown,0,0.2185999361837184,0
CLM0000049,POL000776,42,M,Married,Business,9,1093.2037411190795,Basic,2500,6,4331.578206021752,Sedan,2212.6782285964323,Collision,Minor,Urban,1,2,0,1,19,2,11.644583674605162,1,26.431022307214747,2342.4058369214777,0,3,Authorized,1,0.31420044314042106,0
CLM0000050,POL004015,48,F,Single,Student,26,1188.6342924579526,Premium,250,5,20020.00404842752,SUV,9222.179806700167,Hit and Run,Moderate,Rural,0,0,0,1,14,5,10.395017398640443,1,37.407253565386505,27579.09225771214,1,3,Unknown,1,0.6659696406269636,0
CLM0000051,POL000035,27,M,Single,Professional,35,1002.5093181899671,Premium,2500,1,32013.84197563884,SUV,6669.447844670295,Collision,Moderate,Urban,0,0,1,1,7,5,6.526465122010076,2,18.986714948542584,3109.337547420772,1,9,Authorized,1,0.4550739141764749,0
CLM0000052,POL003153,23,F,Married,Student,21,1883.7653767644533,Standard,250,3,10681.356605194747,Sedan,8742.92182738958,Theft,Minor,Rural,0,1,0,0,18,0,0.8542551690382106,0,5.81444721737253,12952.212849208798,0,6,Unknown,1,0.5108422965402754,0
CLM0000053,POL001956,21,M,Widowed,Skilled,89,1175.8204451106196,Comprehensive,250,10,18590.70739535154,Sports,18432.94041540141,Collision,Moderate,Urban,0,2,0,1,14,2,12.315520870490534,4,28.66547222975114,7774.195884540658,0,7,Independent,0,0.8152355997908272,1
CLM0000054,POL001586,35,F,Divorced,Professional,13,1016.2613446588991,Comprehensive,2500,1,16133.171671165534,SUV,5127.995547447259,Theft,Total Loss,Urban,1,2,1,0,22,3,0.5668174375670784,2,0.4574514566036936,16247.386695657984,0,4,Authorized,1,0.520348159316152,0
CLM0000055,POL003944,74,F,Married,Skilled,5,466.69595479093937,Standard,2500,4,21844.720263395327,Luxury,4890.4154040297535,Theft,Minor,Suburban,0,0,1,0,13,0,3.743681823026627,1,13.547876696715393,5235.158453924286,1,0,Independent,1,0.5807229286505401,0
CLM0000056,POL003074,35,M,Married,Business,62,603.1601441625482,Basic,1000,4,6620.521892271449,Sedan,2111.1341739762615,Collision,Minor,Suburban,1,0,1,0,19,2,3.117840599320357,2,56.7657949701144,6416.776527228441,0,0,Independent,1,0.12723699283718126,0
CLM0000057,POL001022,47,M,Married,Student,27,2080.65238080531,Basic,250,12,22973.202047017377,Luxury,769.3567389696236,Natural Disaster,Moderate,Highway,1,2,0,0,3,5,9.660884368428306,1,74.1067575189336,13762.477486661623,0,3,Authorized,1,0.18590542322691705,0
CLM0000058,POL003462,50,F,Married,Retired,9,528.5883677479399,Comprehensive,500,5,15314.713444195228,Sedan,11396.099494030688,Collision,Moderate,Urban,1,3,1,1,15,1,13.181244107825883,1,15.958977021470185,3386.1040902997433,0,7,Independent,1,0.568415380736127,0
CLM0000059,POL002614,24,M,Married,Business,16,887.473491660932,Standard,250,12,42119.26888559238,Sedan,9725.423723633594,Collision,Minor,Rural,1,1,1,0,17,0,25.97839529429293,1,2.7044658765091714,18437.955030654317,0,5,Authorized,1,0.23212875420429588,0
CLM0000060,POL003844,35,F,Single,Student,3,1231.4774727313516,Premium,250,12,17785.801292295335,Sedan,7648.032895249133,Collision,Major,Rural,1,2,1,0,16,2,26.101730366905983,4,3.1755545968428813,6992.941160419887,1,6,Authorized,1,0.41653263173489946,0
CLM0000061,POL001501,51,M,Married,Business,10,300.0,Premium,250,3,35130.69964581989,SUV,4566.753885630219,Collision,Major,Urban,1,4,1,1,8,2,9.266772942017578,1,8.557216044716089,3767.009827574463,1,0,Independent,1,0.23928400734187563,0
CLM0000062,POL004799,48,F,Married,Business,24,3010.2395494542934,Comprehensive,2500,0,31795.20615254208,Truck,31895.35977649348,Theft,Total Loss,Suburban,0,0,0,0,12,6,29.15850431117065,1,31.802616468275808,4424.145234173601,0,7,Authorized,1,0.8142358443607023,1
CLM0000063,POL000162,18,F,Single,Professional,41,1825.2945210842317,Comprehensive,500,13,25325.58017844174,Truck,1788.0418088210452,Hit and Run,Moderate,Highway,1,0,1,1,18,5,20.187526601157355,1,75.8770122492731,8376.960938460667,0,4,Authorized,1,0.009429247216055597,0
CLM0000064,POL004298,51,M,Married,Skilled,15,1543.5829063266788,Premium,250,1,28941.341285393377,SUV,16781.28652780198,Vandalism,Moderate,Urban,1,0,0,0,6,5,47.087914174841,1,21.13432519000956,8292.255596139903,0,1,Independent,1,0.6504134774316537,0
CLM0000065,POL001982,33,F,Married,Business,11,1362.9206698560781,Comprehensive,500,4,22118.06250971501,Truck,1385.3202853917517,Collision,Major,Suburban,0,2,1,0,22,1,11.974629802099034,1,5.018341058006085,3264.148659532497,1,9,Authorized,0,0.5011751200707777,0
CLM0000066,POL000996,33,F,Married,Skilled,12,1635.5482371343503,Standard,1000,0,23926.599246927854,Luxury,8926.224724579928,Theft,Moderate,Rural,1,1,0,0,15,6,1.1593683162699864,3,32.79819693966931,12272.231610845132,0,3,Independent,1,0.4163495951110847,0
CLM0000067,POL004912,48,F,Married,Student,14,548.630898558107,Standard,500,19,18572.07183109568,Sedan,4425.386133797775,Collision,Minor,Urban,0,2,1,1,0,2,4.014546576658514,2,5.262769656863741,5182.87436616105,1,0,Unknown,1,0.42321075566810284,0
CLM0000068,POL003343,66,F,Married,Student,27,300.0,Basic,250,0,7433.341424337179,SUV,7481.714753527684,Collision,Moderate,Highway,1,1,1,0,22,6,16.37967417405381,0,24.92878116272993,7122.421505102446,0,6,Independent,1,0.6439433777868117,0
CLM0000069,POL004552,38,M,Married,Student,64,566.7084496697163,Standard,250,2,12439.280819630321,Sports,5535.192625755736,Collision,Minor,Suburban,1,0,1,1,7,3,3.9717286799998166,0,3.6322148012587836,12357.853904065068,0,2,Independent,1,0.2823911374520765,0
CLM0000070,POL003799,60,F,Divorced,Professional,3,1564.8790396030108,Standard,250,24,16342.214496702598,Truck,24401.85539736415,Fire,Minor,Rural,0,0,1,0,4,3,27.044312732343798,1,31.699723835294897,9961.15081486406,1,8,Independent,0,1.0,1
CLM0000071,POL001276,18,F,Married,Skilled,11,335.4894726383648,Standard,250,1,20908.01551352614,Truck,3039.773776971579,Collision,Minor,Highway,1,1,1,1,13,2,9.882028637720534,2,66.15073159330863,30838.847193383728,0,6,Authorized,1,0.2798451694770236,0
CLM0000072,POL001017,44,M,Married,Retired,3,694.2523131257537,Premium,250,7,12145.879228498196,Sports,25452.070747894086,Fire,Minor,Highway,0,1,1,0,16,0,16.69467973374874,0,0.9444808287232505,5808.542012760815,0,1,Authorized,0,1.0,1
CLM0000073,POL000338,33,M,Married,Professional,10,1107.2712283091143,Standard,500,6,25512.79327409893,Sedan,5886.957958947761,Hit and Run,Minor,Suburban,0,3,1,1,2,6,35.067853112931,1,23.06722940399989,24096.39740545984,0,5,Authorized,1,0.39536231253511733,0
CLM0000074,POL000879,46,F,Married,Student,20,1268.6865454997433,Basic,250,0,48780.15897835271,SUV,8830.215096614538,Theft,Minor,Urban,1,0,1,0,23,1,2.273904397480644,1,40.641379940588536,8379.083377825296,1,8,Authorized,1,0.6181248660012035,0
CLM0000075,POL001077,37,F,Single,Professional,5,498.4826501781948,Comprehensive,250,12,11658.458574096585,Sedan,28456.55634560279,Hit and Run,Minor,Suburban,0,0,1,1,15,1,0.302168760430844,1,19.65691383198165,5764.381683084902,1,0,Independent,1,0.9605222850468643,1
CLM0000076,POL004888,20,F,Married,Skilled,35,1725.1134520668998,Standard,2500,0,18538.679342371557,Luxury,9197.804525374302,Natural Disaster,Moderate,Suburban,1,3,1,0,7,4,3.7981567097003586,2,19.957008572932022,14699.72013330982,1,4,Independent,1,0.2552796740045255,0
CLM0000077,POL003994,27,M,Married,Skilled,8,1592.8407061347932,Comprehensive,2500,7,19477.504515518627,Sports,20388.361473278957,Hit and Run,Moderate,Highway,1,3,1,0,3,1,20.280135037094755,0,38.216293557760295,7454.51246243119,1,8,Authorized,0,0.7709348460406513,1
CLM0000078,POL004860,18,F,Married,Retired,33,1268.768422291759,Standard,1000,3,38772.91677119113,Sedan,6185.248723026201,Vandalism,Major,Rural,1,3,1,0,13,4,1.8786333489225755,1,56.50402852567437,6947.250689241457,0,2,Unknown,1,0.14787524141216343,0
CLM0000079,POL000380,21,F,Married,Skilled,13,509.1215168161579,Basic,500,0,33480.277568310456,SUV,16773.266994023117,Natural Disaster,Minor,Urban,1,2,0,1,21,1,1.9470939540128531,2,32.043205072829686,7170.16008498961,0,1,Independent,1,0.5911980571078486,0
CLM0000080,POL000493,49,M,Married,Student,17,2016.5633626617403,Premium,500,3,28146.199058584392,SUV,10321.350381885648,Collision,Major,Urban,0,0,1,0,22,4,0.8341306057991171,2,19.798374113989286,7067.362024788188,0,2,Authorized,1,0.6867016674807052,0
CLM0000081,POL002063,37,F,Single,Professional,30,1100.069176069195,Comprehensive,500,6,8382.676425120675,Sports,12638.490066081647,Theft,Moderate,Urban,0,0,0,0,21,2,22.197218387250743,2,21.83198527426004,9825.632820159513,1,0,Authorized,1,0.9847817238383325,1
CLM0000082,POL003885,45,M,Married,Business,78,667.2320660286651,Standard,1000,0,26453.32332628383,Sedan,4103.976443460323,Theft,Minor,Suburban,0,1,0,0,17,2,21.121208224663388,1,5.826118053151333,16862.965462105072,0,0,Unknown,1,0.45778933684315926,0
CLM0000083,POL000065,71,F,Married,Business,13,851.8926495387337,Comprehensive,1000,14,26959.716513949545,Sedan,2014.4887888707185,Collision,Minor,Highway,1,1,0,0,20,5,42.95359848473624,3,13.784708419317672,15415.872881387026,0,4,Authorized,1,0.01570188417169938,0
CLM0000084,POL002569,37,M,Married,Skilled,3,606.2195704220575,Comprehensive,250,2,27656.66574546816,Truck,4726.563857142194,Hit and Run,Moderate,Suburban,1,1,1,0,7,3,4.7580871156555276,1,40.80192409819692,3570.060825678492,1,0,Authorized,1,0.20667821607215475,0
CLM0000085,POL002028,52,F,Married,Skilled,67,970.2586861586319,Comprehensive,2500,1,26118.833422889085,Sports,1059.0760848299467,Collision,Moderate,Urban,1,2,1,0,2,2,11.548549857989624,0,29.51651395284847,9832.4313699011,0,8,Independent,1,0.1353191003700317,0
CLM0000086,POL002696,42,F,Single,Retired,34,2069.1814774652457,Standard,2500,11,24583.00824395579,Luxury,5218.036484771099,Natural Disaster,Moderate,Rural,1,1,1,0,14,2,13.901852382869183,0,1.4510929538710227,807.1044503761186,1,1,Independent,0,0.21687220899693505,0
CLM0000087,POL001496,85,M,Married,Professional,11,1794.2484317440228,Basic,1000,3,24726.5746911135,Sedan,21155.433178313004,Theft,Moderate,Suburban,0,0,0,0,12,5,40.95967866265429,1,49.53453734940079,6482.706538164518,0,9,Authorized,1,0.7254961258274926,1
CLM0000088,POL000392,18,M,Married,Business,21,1242.9499841065488,Standard,500,11,12339.178974245107,SUV,37206.01846088307,Collision,Minor,Suburban,1,2,1,1,13,4,3.084088075621363,3,19.02975685258223,25137.38037098472,0,0,Authorized,0,0.5832772165647604,0
CLM0000089,POL004515,30,F,Married,Retired,24,575.2748502991542,Comprehensive,2500,2,48933.02197683572,SUV,1475.9364861089316,Fire,Minor,Highway,0,0,0,0,8,2,2.6041868787349665,0,3.0676278860552992,3700.717758447026,1,9,Authorized,1,0.4486604324852212,0
CLM0000090,POL004475,52,M,Married,Business,13,1092.967033210962,Standard,2500,5,16018.86817414404,SUV,4924.273608894427,Collision,Moderate,Suburban,0,4,1,0,14,1,0.24403571154800463,0,17.12736095919306,8592.518551144203,1,6,Independent,1,0.0517540869233614,0
CLM0000091,POL003562,29,M,Married,Skilled,6,1271.7320858644237,Standard,1000,22,13194.635732530498,Sedan,33673.43057091846,Hit and Run,Moderate,Suburban,0,0,0,1,15,5,18.24509377768966,1,10.23208060565704,5117.627811026844,0,2,Unknown,1,0.7411600851339282,1
CLM0000092,POL002279,51,M,Married,Professional,16,828.2651447309582,Standard,250,2,17178.913850254357,Truck,3454.0242199884797,Collision,Major,Highway,1,2,1,0,7,5,18.89326925813311,1,2.133115284311451,4372.313332383773,0,5,Unknown,0,0.31856237888062466,0
CLM0000093,POL003100,41,F,Married,Business,6,2812.637861670692,Premium,1000,4,27350.748735081812,Sedan,1251.9755242841127,Fire,Moderate,Urban,0,0,1,1,21,6,1.4763566712882228,1,0.23750748798007992,6711.911181220567,0,1,Unknown,1,0.27294185876797916,0
CLM0000094,POL000201,55,F,Single,Professional,77,317.48187945698294,Premium,500,9,14687.789023243502,Truck,30759.578724597563,Fire,Minor,Suburban,0,0,0,0,19,1,15.900108534797882,0,58.89328137635281,19754.532504669005,1,9,Authorized,0,0.7349583033599816,1
CLM0000095,POL004876,23,M,Single,Professional,49,1693.466979167707,Premium,250,6,12125.2020034756,SUV,21970.682435722276,Collision,Major,Urban,1,3,1,0,1,2,1.822435119684512,1,43.36816612252019,31803.382013394592,0,9,Authorized,1,0.5914727608540099,0
CLM0000096,POL003105,44,M,Single,Skilled,49,837.0710856414377,Standard,2500,9,26423.757005280215,SUV,11770.749838694817,Collision,Major,Urban,0,1,1,0,11,3,9.307689948336185,2,3.577313680065644,8610.113834673773,1,0,Authorized,0,0.6705621017200027,0
CLM0000097,POL004599,49,M,Divorced,Student,3,2392.666857401352,Basic,250,2,31729.65051447801,Truck,22306.632139119927,Fire,Major,Urban,0,0,1,0,0,3,21.05321404507765,6,11.136916812119074,9438.354458077101,1,3,Authorized,1,1.0,1
